group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,ThingBuf,100,,,1925414.0,ns,2
async/mpsc_integer,ThingBuf,100,,,2265858.0,ns,4
async/mpsc_integer,ThingBuf,100,,,2831428.0,ns,6
async/mpsc_integer,ThingBuf,100,,,5113798.0,ns,8
async/mpsc_integer,ThingBuf,100,,,5134286.0,ns,10
async/mpsc_integer,ThingBuf,100,,,7816202.0,ns,12
async/mpsc_integer,ThingBuf,100,,,8089299.0,ns,14
async/mpsc_integer,ThingBuf,100,,,8002664.0,ns,16
async/mpsc_integer,ThingBuf,100,,,10634806.0,ns,18
async/mpsc_integer,ThingBuf,100,,,13129196.0,ns,20
async/mpsc_integer,ThingBuf,100,,,13463760.0,ns,22
async/mpsc_integer,ThingBuf,100,,,15789040.0,ns,24
async/mpsc_integer,ThingBuf,100,,,16661811.0,ns,26
async/mpsc_integer,ThingBuf,100,,,24345082.0,ns,28
async/mpsc_integer,ThingBuf,100,,,18839423.0,ns,30
async/mpsc_integer,ThingBuf,100,,,17438231.0,ns,32
async/mpsc_integer,ThingBuf,100,,,18809546.0,ns,34
async/mpsc_integer,ThingBuf,100,,,19919346.0,ns,36
async/mpsc_integer,ThingBuf,100,,,29735072.0,ns,38
async/mpsc_integer,ThingBuf,100,,,24876027.0,ns,40
async/mpsc_integer,ThingBuf,100,,,26270094.0,ns,42
async/mpsc_integer,ThingBuf,100,,,27670875.0,ns,44
async/mpsc_integer,ThingBuf,100,,,28970055.0,ns,46
async/mpsc_integer,ThingBuf,100,,,28459018.0,ns,48
async/mpsc_integer,ThingBuf,100,,,29288106.0,ns,50
async/mpsc_integer,ThingBuf,100,,,32323420.0,ns,52
async/mpsc_integer,ThingBuf,100,,,29243251.0,ns,54
async/mpsc_integer,ThingBuf,100,,,32989531.0,ns,56
async/mpsc_integer,ThingBuf,100,,,34557488.0,ns,58
async/mpsc_integer,ThingBuf,100,,,35163065.0,ns,60
async/mpsc_integer,ThingBuf,100,,,33700436.0,ns,62
async/mpsc_integer,ThingBuf,100,,,39587818.0,ns,64
async/mpsc_integer,ThingBuf,100,,,45600006.0,ns,66
async/mpsc_integer,ThingBuf,100,,,45287845.0,ns,68
async/mpsc_integer,ThingBuf,100,,,39662980.0,ns,70
async/mpsc_integer,ThingBuf,100,,,42796199.0,ns,72
async/mpsc_integer,ThingBuf,100,,,54016212.0,ns,74
async/mpsc_integer,ThingBuf,100,,,44413721.0,ns,76
async/mpsc_integer,ThingBuf,100,,,46373138.0,ns,78
async/mpsc_integer,ThingBuf,100,,,46082539.0,ns,80
async/mpsc_integer,ThingBuf,100,,,55427744.0,ns,82
async/mpsc_integer,ThingBuf,100,,,50441117.0,ns,84
async/mpsc_integer,ThingBuf,100,,,50920594.0,ns,86
async/mpsc_integer,ThingBuf,100,,,53041979.0,ns,88
async/mpsc_integer,ThingBuf,100,,,49968142.0,ns,90
async/mpsc_integer,ThingBuf,100,,,52853692.0,ns,92
async/mpsc_integer,ThingBuf,100,,,55380163.0,ns,94
async/mpsc_integer,ThingBuf,100,,,61060213.0,ns,96
async/mpsc_integer,ThingBuf,100,,,54540455.0,ns,98
async/mpsc_integer,ThingBuf,100,,,66366926.0,ns,100
async/mpsc_integer,ThingBuf,100,,,69183246.0,ns,102
async/mpsc_integer,ThingBuf,100,,,57796367.0,ns,104
async/mpsc_integer,ThingBuf,100,,,60680936.0,ns,106
async/mpsc_integer,ThingBuf,100,,,61183045.0,ns,108
