group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,ThingBuf,10,,,945048.0,ns,5
async/mpsc_integer,ThingBuf,10,,,1905406.0,ns,10
async/mpsc_integer,ThingBuf,10,,,3578472.0,ns,15
async/mpsc_integer,ThingBuf,10,,,4749507.0,ns,20
async/mpsc_integer,ThingBuf,10,,,5703573.0,ns,25
async/mpsc_integer,ThingBuf,10,,,7269546.0,ns,30
async/mpsc_integer,ThingBuf,10,,,7633555.0,ns,35
async/mpsc_integer,ThingBuf,10,,,7709729.0,ns,40
async/mpsc_integer,ThingBuf,10,,,10496502.0,ns,45
async/mpsc_integer,ThingBuf,10,,,12169368.0,ns,50
async/mpsc_integer,ThingBuf,10,,,10474821.0,ns,55
async/mpsc_integer,ThingBuf,10,,,14404777.0,ns,60
async/mpsc_integer,ThingBuf,10,,,13476121.0,ns,65
async/mpsc_integer,ThingBuf,10,,,13931262.0,ns,70
async/mpsc_integer,ThingBuf,10,,,15276747.0,ns,75
async/mpsc_integer,ThingBuf,10,,,18203926.0,ns,80
async/mpsc_integer,ThingBuf,10,,,15923061.0,ns,85
async/mpsc_integer,ThingBuf,10,,,21824998.0,ns,90
async/mpsc_integer,ThingBuf,10,,,22212341.0,ns,95
async/mpsc_integer,ThingBuf,10,,,22367535.0,ns,100
async/mpsc_integer,ThingBuf,10,,,25043288.0,ns,105
async/mpsc_integer,ThingBuf,10,,,21234371.0,ns,110
async/mpsc_integer,ThingBuf,10,,,26381110.0,ns,115
async/mpsc_integer,ThingBuf,10,,,23072450.0,ns,120
async/mpsc_integer,ThingBuf,10,,,29220122.0,ns,125
async/mpsc_integer,ThingBuf,10,,,24044538.0,ns,130
async/mpsc_integer,ThingBuf,10,,,34027218.0,ns,135
async/mpsc_integer,ThingBuf,10,,,32406662.0,ns,140
async/mpsc_integer,ThingBuf,10,,,31952973.0,ns,145
async/mpsc_integer,ThingBuf,10,,,26506888.0,ns,150
async/mpsc_integer,ThingBuf,10,,,32909694.0,ns,155
async/mpsc_integer,ThingBuf,10,,,34243277.0,ns,160
async/mpsc_integer,ThingBuf,10,,,30554437.0,ns,165
async/mpsc_integer,ThingBuf,10,,,38916961.0,ns,170
async/mpsc_integer,ThingBuf,10,,,40957403.0,ns,175
async/mpsc_integer,ThingBuf,10,,,43204143.0,ns,180
async/mpsc_integer,ThingBuf,10,,,34374175.0,ns,185
async/mpsc_integer,ThingBuf,10,,,43639778.0,ns,190
async/mpsc_integer,ThingBuf,10,,,37808173.0,ns,195
async/mpsc_integer,ThingBuf,10,,,36302554.0,ns,200
async/mpsc_integer,ThingBuf,10,,,45555492.0,ns,205
async/mpsc_integer,ThingBuf,10,,,41153764.0,ns,210
async/mpsc_integer,ThingBuf,10,,,50856825.0,ns,215
async/mpsc_integer,ThingBuf,10,,,49996777.0,ns,220
async/mpsc_integer,ThingBuf,10,,,55407385.0,ns,225
async/mpsc_integer,ThingBuf,10,,,52604281.0,ns,230
async/mpsc_integer,ThingBuf,10,,,45267659.0,ns,235
async/mpsc_integer,ThingBuf,10,,,47946127.0,ns,240
async/mpsc_integer,ThingBuf,10,,,45133224.0,ns,245
async/mpsc_integer,ThingBuf,10,,,53621486.0,ns,250
async/mpsc_integer,ThingBuf,10,,,60774050.0,ns,255
async/mpsc_integer,ThingBuf,10,,,64468892.0,ns,260
async/mpsc_integer,ThingBuf,10,,,51119291.0,ns,265
async/mpsc_integer,ThingBuf,10,,,48006110.0,ns,270
async/mpsc_integer,ThingBuf,10,,,67863236.0,ns,275
async/mpsc_integer,ThingBuf,10,,,64118630.0,ns,280
async/mpsc_integer,ThingBuf,10,,,54259754.0,ns,285
async/mpsc_integer,ThingBuf,10,,,54301052.0,ns,290
async/mpsc_integer,ThingBuf,10,,,65093254.0,ns,295
async/mpsc_integer,ThingBuf,10,,,68902912.0,ns,300
async/mpsc_integer,ThingBuf,10,,,71399898.0,ns,305
async/mpsc_integer,ThingBuf,10,,,83920650.0,ns,310
async/mpsc_integer,ThingBuf,10,,,84324474.0,ns,315
async/mpsc_integer,ThingBuf,10,,,73952909.0,ns,320
async/mpsc_integer,ThingBuf,10,,,61269829.0,ns,325
async/mpsc_integer,ThingBuf,10,,,74906813.0,ns,330
async/mpsc_integer,ThingBuf,10,,,75073268.0,ns,335
async/mpsc_integer,ThingBuf,10,,,65678221.0,ns,340
async/mpsc_integer,ThingBuf,10,,,65844305.0,ns,345
async/mpsc_integer,ThingBuf,10,,,86754172.0,ns,350
async/mpsc_integer,ThingBuf,10,,,79380779.0,ns,355
async/mpsc_integer,ThingBuf,10,,,82508849.0,ns,360
async/mpsc_integer,ThingBuf,10,,,69500053.0,ns,365
async/mpsc_integer,ThingBuf,10,,,77190265.0,ns,370
async/mpsc_integer,ThingBuf,10,,,89623211.0,ns,375
async/mpsc_integer,ThingBuf,10,,,96425643.0,ns,380
async/mpsc_integer,ThingBuf,10,,,76987581.0,ns,385
async/mpsc_integer,ThingBuf,10,,,91038149.0,ns,390
async/mpsc_integer,ThingBuf,10,,,78508449.0,ns,395
