group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,async_std::channel::bounded,10,,,733738.0,ns,4
async/mpsc_integer,async_std::channel::bounded,10,,,1793524.0,ns,8
async/mpsc_integer,async_std::channel::bounded,10,,,2291977.0,ns,12
async/mpsc_integer,async_std::channel::bounded,10,,,3256282.0,ns,16
async/mpsc_integer,async_std::channel::bounded,10,,,3465017.0,ns,20
async/mpsc_integer,async_std::channel::bounded,10,,,5949088.0,ns,24
async/mpsc_integer,async_std::channel::bounded,10,,,8571600.0,ns,28
async/mpsc_integer,async_std::channel::bounded,10,,,9066907.0,ns,32
async/mpsc_integer,async_std::channel::bounded,10,,,6160808.0,ns,36
async/mpsc_integer,async_std::channel::bounded,10,,,8974423.0,ns,40
async/mpsc_integer,async_std::channel::bounded,10,,,8865406.0,ns,44
async/mpsc_integer,async_std::channel::bounded,10,,,12455810.0,ns,48
async/mpsc_integer,async_std::channel::bounded,10,,,10749581.0,ns,52
async/mpsc_integer,async_std::channel::bounded,10,,,9141228.0,ns,56
async/mpsc_integer,async_std::channel::bounded,10,,,12455240.0,ns,60
async/mpsc_integer,async_std::channel::bounded,10,,,14899014.0,ns,64
async/mpsc_integer,async_std::channel::bounded,10,,,13604764.0,ns,68
async/mpsc_integer,async_std::channel::bounded,10,,,17963142.0,ns,72
async/mpsc_integer,async_std::channel::bounded,10,,,16832041.0,ns,76
async/mpsc_integer,async_std::channel::bounded,10,,,15243596.0,ns,80
async/mpsc_integer,async_std::channel::bounded,10,,,17696608.0,ns,84
async/mpsc_integer,async_std::channel::bounded,10,,,19636950.0,ns,88
async/mpsc_integer,async_std::channel::bounded,10,,,18105652.0,ns,92
async/mpsc_integer,async_std::channel::bounded,10,,,25064941.0,ns,96
async/mpsc_integer,async_std::channel::bounded,10,,,27890418.0,ns,100
async/mpsc_integer,async_std::channel::bounded,10,,,28439737.0,ns,104
async/mpsc_integer,async_std::channel::bounded,10,,,24454476.0,ns,108
async/mpsc_integer,async_std::channel::bounded,10,,,31795087.0,ns,112
async/mpsc_integer,async_std::channel::bounded,10,,,25356082.0,ns,116
