group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,futures::channel::mpsc,100,,,1428614.0,ns,2
async/mpsc_integer,futures::channel::mpsc,100,,,3456571.0,ns,4
async/mpsc_integer,futures::channel::mpsc,100,,,5030039.0,ns,6
async/mpsc_integer,futures::channel::mpsc,100,,,6006878.0,ns,8
async/mpsc_integer,futures::channel::mpsc,100,,,8570238.0,ns,10
async/mpsc_integer,futures::channel::mpsc,100,,,9405159.0,ns,12
async/mpsc_integer,futures::channel::mpsc,100,,,10718284.0,ns,14
async/mpsc_integer,futures::channel::mpsc,100,,,16724240.0,ns,16
async/mpsc_integer,futures::channel::mpsc,100,,,15871406.0,ns,18
async/mpsc_integer,futures::channel::mpsc,100,,,16460911.0,ns,20
async/mpsc_integer,futures::channel::mpsc,100,,,17963856.0,ns,22
async/mpsc_integer,futures::channel::mpsc,100,,,20088116.0,ns,24
async/mpsc_integer,futures::channel::mpsc,100,,,16300749.0,ns,26
async/mpsc_integer,futures::channel::mpsc,100,,,18463842.0,ns,28
async/mpsc_integer,futures::channel::mpsc,100,,,26857918.0,ns,30
async/mpsc_integer,futures::channel::mpsc,100,,,23199924.0,ns,32
async/mpsc_integer,futures::channel::mpsc,100,,,31292731.0,ns,34
async/mpsc_integer,futures::channel::mpsc,100,,,28640400.0,ns,36
async/mpsc_integer,futures::channel::mpsc,100,,,26852387.0,ns,38
async/mpsc_integer,futures::channel::mpsc,100,,,34702292.0,ns,40
async/mpsc_integer,futures::channel::mpsc,100,,,30556868.0,ns,42
async/mpsc_integer,futures::channel::mpsc,100,,,33834120.0,ns,44
async/mpsc_integer,futures::channel::mpsc,100,,,47050912.0,ns,46
async/mpsc_integer,futures::channel::mpsc,100,,,39413658.0,ns,48
async/mpsc_integer,futures::channel::mpsc,100,,,36763934.0,ns,50
async/mpsc_integer,futures::channel::mpsc,100,,,40153810.0,ns,52
async/mpsc_integer,futures::channel::mpsc,100,,,52438268.0,ns,54
async/mpsc_integer,futures::channel::mpsc,100,,,45269601.0,ns,56
async/mpsc_integer,futures::channel::mpsc,100,,,33764609.0,ns,58
async/mpsc_integer,futures::channel::mpsc,100,,,42914704.0,ns,60
async/mpsc_integer,futures::channel::mpsc,100,,,42682105.0,ns,62
async/mpsc_integer,futures::channel::mpsc,100,,,37506700.0,ns,64
async/mpsc_integer,futures::channel::mpsc,100,,,58121353.0,ns,66
async/mpsc_integer,futures::channel::mpsc,100,,,60263026.0,ns,68
async/mpsc_integer,futures::channel::mpsc,100,,,60526134.0,ns,70
async/mpsc_integer,futures::channel::mpsc,100,,,58686963.0,ns,72
async/mpsc_integer,futures::channel::mpsc,100,,,53733640.0,ns,74
async/mpsc_integer,futures::channel::mpsc,100,,,63980541.0,ns,76
async/mpsc_integer,futures::channel::mpsc,100,,,69644420.0,ns,78
async/mpsc_integer,futures::channel::mpsc,100,,,61198286.0,ns,80
async/mpsc_integer,futures::channel::mpsc,100,,,76199255.0,ns,82
async/mpsc_integer,futures::channel::mpsc,100,,,71821680.0,ns,84
async/mpsc_integer,futures::channel::mpsc,100,,,62163914.0,ns,86
async/mpsc_integer,futures::channel::mpsc,100,,,68507187.0,ns,88
async/mpsc_integer,futures::channel::mpsc,100,,,72505674.0,ns,90
async/mpsc_integer,futures::channel::mpsc,100,,,57587001.0,ns,92
async/mpsc_integer,futures::channel::mpsc,100,,,73842304.0,ns,94
async/mpsc_integer,futures::channel::mpsc,100,,,63280045.0,ns,96
async/mpsc_integer,futures::channel::mpsc,100,,,79155960.0,ns,98
async/mpsc_integer,futures::channel::mpsc,100,,,88505293.0,ns,100
async/mpsc_integer,futures::channel::mpsc,100,,,68565327.0,ns,102
async/mpsc_integer,futures::channel::mpsc,100,,,91454665.0,ns,104
async/mpsc_integer,futures::channel::mpsc,100,,,84430722.0,ns,106
async/mpsc_integer,futures::channel::mpsc,100,,,98878805.0,ns,108
async/mpsc_integer,futures::channel::mpsc,100,,,95217215.0,ns,110
async/mpsc_integer,futures::channel::mpsc,100,,,79562960.0,ns,112
async/mpsc_integer,futures::channel::mpsc,100,,,78156939.0,ns,114
async/mpsc_integer,futures::channel::mpsc,100,,,80884882.0,ns,116
async/mpsc_integer,futures::channel::mpsc,100,,,93639320.0,ns,118
async/mpsc_integer,futures::channel::mpsc,100,,,89832956.0,ns,120
async/mpsc_integer,futures::channel::mpsc,100,,,94206462.0,ns,122
async/mpsc_integer,futures::channel::mpsc,100,,,101732324.0,ns,124
async/mpsc_integer,futures::channel::mpsc,100,,,101620954.0,ns,126
async/mpsc_integer,futures::channel::mpsc,100,,,123723242.0,ns,128
async/mpsc_integer,futures::channel::mpsc,100,,,112328107.0,ns,130
async/mpsc_integer,futures::channel::mpsc,100,,,106998912.0,ns,132
async/mpsc_integer,futures::channel::mpsc,100,,,114374329.0,ns,134
async/mpsc_integer,futures::channel::mpsc,100,,,104393291.0,ns,136
async/mpsc_integer,futures::channel::mpsc,100,,,108118572.0,ns,138
async/mpsc_integer,futures::channel::mpsc,100,,,140507897.0,ns,140
async/mpsc_integer,futures::channel::mpsc,100,,,118041400.0,ns,142
async/mpsc_integer,futures::channel::mpsc,100,,,126390209.0,ns,144
async/mpsc_integer,futures::channel::mpsc,100,,,117809210.0,ns,146
async/mpsc_integer,futures::channel::mpsc,100,,,139569180.0,ns,148
async/mpsc_integer,futures::channel::mpsc,100,,,113517488.0,ns,150
async/mpsc_integer,futures::channel::mpsc,100,,,126218275.0,ns,152
async/mpsc_integer,futures::channel::mpsc,100,,,141517568.0,ns,154
async/mpsc_integer,futures::channel::mpsc,100,,,142185672.0,ns,156
async/mpsc_integer,futures::channel::mpsc,100,,,130601169.0,ns,158
async/mpsc_integer,futures::channel::mpsc,100,,,105496248.0,ns,160
async/mpsc_integer,futures::channel::mpsc,100,,,135852948.0,ns,162
async/mpsc_integer,futures::channel::mpsc,100,,,134628149.0,ns,164
async/mpsc_integer,futures::channel::mpsc,100,,,129522618.0,ns,166
async/mpsc_integer,futures::channel::mpsc,100,,,150589727.0,ns,168
async/mpsc_integer,futures::channel::mpsc,100,,,149919759.0,ns,170
async/mpsc_integer,futures::channel::mpsc,100,,,129379106.0,ns,172
async/mpsc_integer,futures::channel::mpsc,100,,,156247333.0,ns,174
async/mpsc_integer,futures::channel::mpsc,100,,,133426286.0,ns,176
async/mpsc_integer,futures::channel::mpsc,100,,,148841148.0,ns,178
async/mpsc_integer,futures::channel::mpsc,100,,,133988339.0,ns,180
async/mpsc_integer,futures::channel::mpsc,100,,,149576991.0,ns,182
async/mpsc_integer,futures::channel::mpsc,100,,,150384319.0,ns,184
async/mpsc_integer,futures::channel::mpsc,100,,,193549047.0,ns,186
async/mpsc_integer,futures::channel::mpsc,100,,,150027894.0,ns,188
async/mpsc_integer,futures::channel::mpsc,100,,,162670820.0,ns,190
async/mpsc_integer,futures::channel::mpsc,100,,,147795309.0,ns,192
async/mpsc_integer,futures::channel::mpsc,100,,,159126052.0,ns,194
async/mpsc_integer,futures::channel::mpsc,100,,,180224540.0,ns,196
async/mpsc_integer,futures::channel::mpsc,100,,,141551032.0,ns,198
async/mpsc_integer,futures::channel::mpsc,100,,,166356425.0,ns,200
