group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,tokio::sync::mpsc,100,,,816726.0,ns,1
async/mpsc_integer,tokio::sync::mpsc,100,,,1911327.0,ns,2
async/mpsc_integer,tokio::sync::mpsc,100,,,3570016.0,ns,3
async/mpsc_integer,tokio::sync::mpsc,100,,,3889310.0,ns,4
async/mpsc_integer,tokio::sync::mpsc,100,,,4590437.0,ns,5
async/mpsc_integer,tokio::sync::mpsc,100,,,7068467.0,ns,6
async/mpsc_integer,tokio::sync::mpsc,100,,,6633093.0,ns,7
async/mpsc_integer,tokio::sync::mpsc,100,,,7269527.0,ns,8
async/mpsc_integer,tokio::sync::mpsc,100,,,7794020.0,ns,9
async/mpsc_integer,tokio::sync::mpsc,100,,,8470890.0,ns,10
async/mpsc_integer,tokio::sync::mpsc,100,,,11105086.0,ns,11
async/mpsc_integer,tokio::sync::mpsc,100,,,11034493.0,ns,12
async/mpsc_integer,tokio::sync::mpsc,100,,,13772314.0,ns,13
async/mpsc_integer,tokio::sync::mpsc,100,,,13715215.0,ns,14
async/mpsc_integer,tokio::sync::mpsc,100,,,17580381.0,ns,15
async/mpsc_integer,tokio::sync::mpsc,100,,,15689392.0,ns,16
async/mpsc_integer,tokio::sync::mpsc,100,,,17987591.0,ns,17
async/mpsc_integer,tokio::sync::mpsc,100,,,17841094.0,ns,18
async/mpsc_integer,tokio::sync::mpsc,100,,,20828358.0,ns,19
async/mpsc_integer,tokio::sync::mpsc,100,,,20561352.0,ns,20
async/mpsc_integer,tokio::sync::mpsc,100,,,20790696.0,ns,21
async/mpsc_integer,tokio::sync::mpsc,100,,,23090188.0,ns,22
async/mpsc_integer,tokio::sync::mpsc,100,,,22934292.0,ns,23
async/mpsc_integer,tokio::sync::mpsc,100,,,26133107.0,ns,24
async/mpsc_integer,tokio::sync::mpsc,100,,,26730026.0,ns,25
async/mpsc_integer,tokio::sync::mpsc,100,,,32271183.0,ns,26
async/mpsc_integer,tokio::sync::mpsc,100,,,26703816.0,ns,27
async/mpsc_integer,tokio::sync::mpsc,100,,,31590113.0,ns,28
async/mpsc_integer,tokio::sync::mpsc,100,,,33642097.0,ns,29
async/mpsc_integer,tokio::sync::mpsc,100,,,33085694.0,ns,30
async/mpsc_integer,tokio::sync::mpsc,100,,,34967616.0,ns,31
async/mpsc_integer,tokio::sync::mpsc,100,,,34116615.0,ns,32
async/mpsc_integer,tokio::sync::mpsc,100,,,36338410.0,ns,33
async/mpsc_integer,tokio::sync::mpsc,100,,,38356509.0,ns,34
async/mpsc_integer,tokio::sync::mpsc,100,,,38277439.0,ns,35
async/mpsc_integer,tokio::sync::mpsc,100,,,38877145.0,ns,36
async/mpsc_integer,tokio::sync::mpsc,100,,,37623592.0,ns,37
async/mpsc_integer,tokio::sync::mpsc,100,,,42882344.0,ns,38
async/mpsc_integer,tokio::sync::mpsc,100,,,42882965.0,ns,39
async/mpsc_integer,tokio::sync::mpsc,100,,,42363493.0,ns,40
async/mpsc_integer,tokio::sync::mpsc,100,,,44732075.0,ns,41
async/mpsc_integer,tokio::sync::mpsc,100,,,43515693.0,ns,42
async/mpsc_integer,tokio::sync::mpsc,100,,,45642778.0,ns,43
async/mpsc_integer,tokio::sync::mpsc,100,,,46076719.0,ns,44
async/mpsc_integer,tokio::sync::mpsc,100,,,47896764.0,ns,45
async/mpsc_integer,tokio::sync::mpsc,100,,,51581247.0,ns,46
async/mpsc_integer,tokio::sync::mpsc,100,,,52459288.0,ns,47
async/mpsc_integer,tokio::sync::mpsc,100,,,53241909.0,ns,48
async/mpsc_integer,tokio::sync::mpsc,100,,,56303323.0,ns,49
async/mpsc_integer,tokio::sync::mpsc,100,,,53266005.0,ns,50
async/mpsc_integer,tokio::sync::mpsc,100,,,54226683.0,ns,51
async/mpsc_integer,tokio::sync::mpsc,100,,,57674067.0,ns,52
async/mpsc_integer,tokio::sync::mpsc,100,,,57748739.0,ns,53
async/mpsc_integer,tokio::sync::mpsc,100,,,55457092.0,ns,54
async/mpsc_integer,tokio::sync::mpsc,100,,,63189245.0,ns,55
async/mpsc_integer,tokio::sync::mpsc,100,,,64567704.0,ns,56
async/mpsc_integer,tokio::sync::mpsc,100,,,62169015.0,ns,57
async/mpsc_integer,tokio::sync::mpsc,100,,,66170517.0,ns,58
async/mpsc_integer,tokio::sync::mpsc,100,,,64283706.0,ns,59
async/mpsc_integer,tokio::sync::mpsc,100,,,65933078.0,ns,60
async/mpsc_integer,tokio::sync::mpsc,100,,,67494472.0,ns,61
async/mpsc_integer,tokio::sync::mpsc,100,,,68412770.0,ns,62
async/mpsc_integer,tokio::sync::mpsc,100,,,68319243.0,ns,63
async/mpsc_integer,tokio::sync::mpsc,100,,,72278025.0,ns,64
async/mpsc_integer,tokio::sync::mpsc,100,,,72848785.0,ns,65
async/mpsc_integer,tokio::sync::mpsc,100,,,70634926.0,ns,66
async/mpsc_integer,tokio::sync::mpsc,100,,,71932762.0,ns,67
async/mpsc_integer,tokio::sync::mpsc,100,,,73559531.0,ns,68
async/mpsc_integer,tokio::sync::mpsc,100,,,73655883.0,ns,69
async/mpsc_integer,tokio::sync::mpsc,100,,,77187597.0,ns,70
async/mpsc_integer,tokio::sync::mpsc,100,,,75839035.0,ns,71
async/mpsc_integer,tokio::sync::mpsc,100,,,80765859.0,ns,72
async/mpsc_integer,tokio::sync::mpsc,100,,,80669757.0,ns,73
async/mpsc_integer,tokio::sync::mpsc,100,,,80538338.0,ns,74
async/mpsc_integer,tokio::sync::mpsc,100,,,82410881.0,ns,75
async/mpsc_integer,tokio::sync::mpsc,100,,,87026276.0,ns,76
async/mpsc_integer,tokio::sync::mpsc,100,,,81965740.0,ns,77
async/mpsc_integer,tokio::sync::mpsc,100,,,89000383.0,ns,78
async/mpsc_integer,tokio::sync::mpsc,100,,,88702078.0,ns,79
async/mpsc_integer,tokio::sync::mpsc,100,,,91169478.0,ns,80
async/mpsc_integer,tokio::sync::mpsc,100,,,88154141.0,ns,81
async/mpsc_integer,tokio::sync::mpsc,100,,,93587474.0,ns,82
async/mpsc_integer,tokio::sync::mpsc,100,,,92068378.0,ns,83
async/mpsc_integer,tokio::sync::mpsc,100,,,98236101.0,ns,84
async/mpsc_integer,tokio::sync::mpsc,100,,,94392797.0,ns,85
async/mpsc_integer,tokio::sync::mpsc,100,,,94969048.0,ns,86
async/mpsc_integer,tokio::sync::mpsc,100,,,96316569.0,ns,87
async/mpsc_integer,tokio::sync::mpsc,100,,,97538101.0,ns,88
async/mpsc_integer,tokio::sync::mpsc,100,,,100608240.0,ns,89
async/mpsc_integer,tokio::sync::mpsc,100,,,100780897.0,ns,90
async/mpsc_integer,tokio::sync::mpsc,100,,,95063397.0,ns,91
async/mpsc_integer,tokio::sync::mpsc,100,,,89026913.0,ns,92
async/mpsc_integer,tokio::sync::mpsc,100,,,99620892.0,ns,93
async/mpsc_integer,tokio::sync::mpsc,100,,,106729915.0,ns,94
async/mpsc_integer,tokio::sync::mpsc,100,,,107946919.0,ns,95
async/mpsc_integer,tokio::sync::mpsc,100,,,95287341.0,ns,96
async/mpsc_integer,tokio::sync::mpsc,100,,,108957471.0,ns,97
async/mpsc_integer,tokio::sync::mpsc,100,,,107836880.0,ns,98
async/mpsc_integer,tokio::sync::mpsc,100,,,104383105.0,ns,99
async/mpsc_integer,tokio::sync::mpsc,100,,,110988896.0,ns,100
