group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,async_std::channel::bounded,50,,,800184.0,ns,4
async/mpsc_integer,async_std::channel::bounded,50,,,2194633.0,ns,8
async/mpsc_integer,async_std::channel::bounded,50,,,3556471.0,ns,12
async/mpsc_integer,async_std::channel::bounded,50,,,4221770.0,ns,16
async/mpsc_integer,async_std::channel::bounded,50,,,5777914.0,ns,20
async/mpsc_integer,async_std::channel::bounded,50,,,19822202.0,ns,24
async/mpsc_integer,async_std::channel::bounded,50,,,12737175.0,ns,28
async/mpsc_integer,async_std::channel::bounded,50,,,9214458.0,ns,32
async/mpsc_integer,async_std::channel::bounded,50,,,15762429.0,ns,36
async/mpsc_integer,async_std::channel::bounded,50,,,10518095.0,ns,40
async/mpsc_integer,async_std::channel::bounded,50,,,12044263.0,ns,44
async/mpsc_integer,async_std::channel::bounded,50,,,16999039.0,ns,48
async/mpsc_integer,async_std::channel::bounded,50,,,14779699.0,ns,52
async/mpsc_integer,async_std::channel::bounded,50,,,16026990.0,ns,56
async/mpsc_integer,async_std::channel::bounded,50,,,16050775.0,ns,60
async/mpsc_integer,async_std::channel::bounded,50,,,22371687.0,ns,64
async/mpsc_integer,async_std::channel::bounded,50,,,25246487.0,ns,68
async/mpsc_integer,async_std::channel::bounded,50,,,20101009.0,ns,72
async/mpsc_integer,async_std::channel::bounded,50,,,26894816.0,ns,76
async/mpsc_integer,async_std::channel::bounded,50,,,21794504.0,ns,80
async/mpsc_integer,async_std::channel::bounded,50,,,24306048.0,ns,84
async/mpsc_integer,async_std::channel::bounded,50,,,30475211.0,ns,88
async/mpsc_integer,async_std::channel::bounded,50,,,32007642.0,ns,92
async/mpsc_integer,async_std::channel::bounded,50,,,26656887.0,ns,96
async/mpsc_integer,async_std::channel::bounded,50,,,27853671.0,ns,100
async/mpsc_integer,async_std::channel::bounded,50,,,28614160.0,ns,104
async/mpsc_integer,async_std::channel::bounded,50,,,31022498.0,ns,108
async/mpsc_integer,async_std::channel::bounded,50,,,32139311.0,ns,112
async/mpsc_integer,async_std::channel::bounded,50,,,32660888.0,ns,116
async/mpsc_integer,async_std::channel::bounded,50,,,33377855.0,ns,120
async/mpsc_integer,async_std::channel::bounded,50,,,33892399.0,ns,124
async/mpsc_integer,async_std::channel::bounded,50,,,35205033.0,ns,128
async/mpsc_integer,async_std::channel::bounded,50,,,37126850.0,ns,132
async/mpsc_integer,async_std::channel::bounded,50,,,39670062.0,ns,136
async/mpsc_integer,async_std::channel::bounded,50,,,41089809.0,ns,140
async/mpsc_integer,async_std::channel::bounded,50,,,39913413.0,ns,144
async/mpsc_integer,async_std::channel::bounded,50,,,43154186.0,ns,148
async/mpsc_integer,async_std::channel::bounded,50,,,44588991.0,ns,152
async/mpsc_integer,async_std::channel::bounded,50,,,44497538.0,ns,156
