group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,futures::channel::mpsc,10,,,1165435.0,ns,2
async/mpsc_integer,futures::channel::mpsc,10,,,2234629.0,ns,4
async/mpsc_integer,futures::channel::mpsc,10,,,3326284.0,ns,6
async/mpsc_integer,futures::channel::mpsc,10,,,3851969.0,ns,8
async/mpsc_integer,futures::channel::mpsc,10,,,4456653.0,ns,10
async/mpsc_integer,futures::channel::mpsc,10,,,7677829.0,ns,12
async/mpsc_integer,futures::channel::mpsc,10,,,8523709.0,ns,14
async/mpsc_integer,futures::channel::mpsc,10,,,3612275.0,ns,16
async/mpsc_integer,futures::channel::mpsc,10,,,11652360.0,ns,18
async/mpsc_integer,futures::channel::mpsc,10,,,10895116.0,ns,20
async/mpsc_integer,futures::channel::mpsc,10,,,14617310.0,ns,22
async/mpsc_integer,futures::channel::mpsc,10,,,15197738.0,ns,24
async/mpsc_integer,futures::channel::mpsc,10,,,17046958.0,ns,26
async/mpsc_integer,futures::channel::mpsc,10,,,13705104.0,ns,28
async/mpsc_integer,futures::channel::mpsc,10,,,16255530.0,ns,30
async/mpsc_integer,futures::channel::mpsc,10,,,20326814.0,ns,32
async/mpsc_integer,futures::channel::mpsc,10,,,19622161.0,ns,34
async/mpsc_integer,futures::channel::mpsc,10,,,24079726.0,ns,36
async/mpsc_integer,futures::channel::mpsc,10,,,20063687.0,ns,38
async/mpsc_integer,futures::channel::mpsc,10,,,25213702.0,ns,40
async/mpsc_integer,futures::channel::mpsc,10,,,26770037.0,ns,42
async/mpsc_integer,futures::channel::mpsc,10,,,27510988.0,ns,44
async/mpsc_integer,futures::channel::mpsc,10,,,25884591.0,ns,46
async/mpsc_integer,futures::channel::mpsc,10,,,32051010.0,ns,48
async/mpsc_integer,futures::channel::mpsc,10,,,35875697.0,ns,50
async/mpsc_integer,futures::channel::mpsc,10,,,31804002.0,ns,52
async/mpsc_integer,futures::channel::mpsc,10,,,22283928.0,ns,54
async/mpsc_integer,futures::channel::mpsc,10,,,29888427.0,ns,56
async/mpsc_integer,futures::channel::mpsc,10,,,30761851.0,ns,58
async/mpsc_integer,futures::channel::mpsc,10,,,30836922.0,ns,60
async/mpsc_integer,futures::channel::mpsc,10,,,48007704.0,ns,62
async/mpsc_integer,futures::channel::mpsc,10,,,32713033.0,ns,64
async/mpsc_integer,futures::channel::mpsc,10,,,43584414.0,ns,66
async/mpsc_integer,futures::channel::mpsc,10,,,41277168.0,ns,68
async/mpsc_integer,futures::channel::mpsc,10,,,40925032.0,ns,70
async/mpsc_integer,futures::channel::mpsc,10,,,35881428.0,ns,72
async/mpsc_integer,futures::channel::mpsc,10,,,40063962.0,ns,74
async/mpsc_integer,futures::channel::mpsc,10,,,46210093.0,ns,76
async/mpsc_integer,futures::channel::mpsc,10,,,41668689.0,ns,78
async/mpsc_integer,futures::channel::mpsc,10,,,47012351.0,ns,80
async/mpsc_integer,futures::channel::mpsc,10,,,55281819.0,ns,82
async/mpsc_integer,futures::channel::mpsc,10,,,56250211.0,ns,84
async/mpsc_integer,futures::channel::mpsc,10,,,52247508.0,ns,86
async/mpsc_integer,futures::channel::mpsc,10,,,53368789.0,ns,88
async/mpsc_integer,futures::channel::mpsc,10,,,49801820.0,ns,90
async/mpsc_integer,futures::channel::mpsc,10,,,56035936.0,ns,92
async/mpsc_integer,futures::channel::mpsc,10,,,51343206.0,ns,94
async/mpsc_integer,futures::channel::mpsc,10,,,69157717.0,ns,96
async/mpsc_integer,futures::channel::mpsc,10,,,70024857.0,ns,98
async/mpsc_integer,futures::channel::mpsc,10,,,28100575.0,ns,100
async/mpsc_integer,futures::channel::mpsc,10,,,72230702.0,ns,102
async/mpsc_integer,futures::channel::mpsc,10,,,64599121.0,ns,104
async/mpsc_integer,futures::channel::mpsc,10,,,75612671.0,ns,106
async/mpsc_integer,futures::channel::mpsc,10,,,74136778.0,ns,108
async/mpsc_integer,futures::channel::mpsc,10,,,71564611.0,ns,110
async/mpsc_integer,futures::channel::mpsc,10,,,70326347.0,ns,112
async/mpsc_integer,futures::channel::mpsc,10,,,70858875.0,ns,114
async/mpsc_integer,futures::channel::mpsc,10,,,69181983.0,ns,116
async/mpsc_integer,futures::channel::mpsc,10,,,68436962.0,ns,118
async/mpsc_integer,futures::channel::mpsc,10,,,73488852.0,ns,120
async/mpsc_integer,futures::channel::mpsc,10,,,82248469.0,ns,122
async/mpsc_integer,futures::channel::mpsc,10,,,89670082.0,ns,124
async/mpsc_integer,futures::channel::mpsc,10,,,79130267.0,ns,126
async/mpsc_integer,futures::channel::mpsc,10,,,69539239.0,ns,128
async/mpsc_integer,futures::channel::mpsc,10,,,66549611.0,ns,130
async/mpsc_integer,futures::channel::mpsc,10,,,89090255.0,ns,132
async/mpsc_integer,futures::channel::mpsc,10,,,90272792.0,ns,134
async/mpsc_integer,futures::channel::mpsc,10,,,72118720.0,ns,136
async/mpsc_integer,futures::channel::mpsc,10,,,74918137.0,ns,138
async/mpsc_integer,futures::channel::mpsc,10,,,98178272.0,ns,140
async/mpsc_integer,futures::channel::mpsc,10,,,90340842.0,ns,142
async/mpsc_integer,futures::channel::mpsc,10,,,102262411.0,ns,144
async/mpsc_integer,futures::channel::mpsc,10,,,81167613.0,ns,146
async/mpsc_integer,futures::channel::mpsc,10,,,105110780.0,ns,148
async/mpsc_integer,futures::channel::mpsc,10,,,101427210.0,ns,150
async/mpsc_integer,futures::channel::mpsc,10,,,101064964.0,ns,152
