group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
async/mpsc_integer,tokio::sync::mpsc,50,,,606839.0,ns,1
async/mpsc_integer,tokio::sync::mpsc,50,,,1746835.0,ns,2
async/mpsc_integer,tokio::sync::mpsc,50,,,2958027.0,ns,3
async/mpsc_integer,tokio::sync::mpsc,50,,,3690364.0,ns,4
async/mpsc_integer,tokio::sync::mpsc,50,,,4752143.0,ns,5
async/mpsc_integer,tokio::sync::mpsc,50,,,4827916.0,ns,6
async/mpsc_integer,tokio::sync::mpsc,50,,,6642140.0,ns,7
async/mpsc_integer,tokio::sync::mpsc,50,,,7915379.0,ns,8
async/mpsc_integer,tokio::sync::mpsc,50,,,8576600.0,ns,9
async/mpsc_integer,tokio::sync::mpsc,50,,,8740942.0,ns,10
async/mpsc_integer,tokio::sync::mpsc,50,,,9954247.0,ns,11
async/mpsc_integer,tokio::sync::mpsc,50,,,10021485.0,ns,12
async/mpsc_integer,tokio::sync::mpsc,50,,,12259089.0,ns,13
async/mpsc_integer,tokio::sync::mpsc,50,,,13751774.0,ns,14
async/mpsc_integer,tokio::sync::mpsc,50,,,13615857.0,ns,15
async/mpsc_integer,tokio::sync::mpsc,50,,,16655428.0,ns,16
async/mpsc_integer,tokio::sync::mpsc,50,,,16055413.0,ns,17
async/mpsc_integer,tokio::sync::mpsc,50,,,17475520.0,ns,18
async/mpsc_integer,tokio::sync::mpsc,50,,,18311513.0,ns,19
async/mpsc_integer,tokio::sync::mpsc,50,,,19054588.0,ns,20
async/mpsc_integer,tokio::sync::mpsc,50,,,17854949.0,ns,21
async/mpsc_integer,tokio::sync::mpsc,50,,,21406911.0,ns,22
async/mpsc_integer,tokio::sync::mpsc,50,,,22726027.0,ns,23
async/mpsc_integer,tokio::sync::mpsc,50,,,23137154.0,ns,24
async/mpsc_integer,tokio::sync::mpsc,50,,,23086539.0,ns,25
async/mpsc_integer,tokio::sync::mpsc,50,,,24856058.0,ns,26
async/mpsc_integer,tokio::sync::mpsc,50,,,25552707.0,ns,27
async/mpsc_integer,tokio::sync::mpsc,50,,,26955090.0,ns,28
async/mpsc_integer,tokio::sync::mpsc,50,,,26992560.0,ns,29
async/mpsc_integer,tokio::sync::mpsc,50,,,28990371.0,ns,30
async/mpsc_integer,tokio::sync::mpsc,50,,,28542725.0,ns,31
async/mpsc_integer,tokio::sync::mpsc,50,,,29666962.0,ns,32
async/mpsc_integer,tokio::sync::mpsc,50,,,32271230.0,ns,33
async/mpsc_integer,tokio::sync::mpsc,50,,,31741959.0,ns,34
async/mpsc_integer,tokio::sync::mpsc,50,,,34520286.0,ns,35
async/mpsc_integer,tokio::sync::mpsc,50,,,35682897.0,ns,36
async/mpsc_integer,tokio::sync::mpsc,50,,,34728270.0,ns,37
async/mpsc_integer,tokio::sync::mpsc,50,,,37847963.0,ns,38
async/mpsc_integer,tokio::sync::mpsc,50,,,35743020.0,ns,39
async/mpsc_integer,tokio::sync::mpsc,50,,,37199296.0,ns,40
async/mpsc_integer,tokio::sync::mpsc,50,,,39949901.0,ns,41
async/mpsc_integer,tokio::sync::mpsc,50,,,39578569.0,ns,42
async/mpsc_integer,tokio::sync::mpsc,50,,,39778557.0,ns,43
async/mpsc_integer,tokio::sync::mpsc,50,,,41957180.0,ns,44
async/mpsc_integer,tokio::sync::mpsc,50,,,43859199.0,ns,45
async/mpsc_integer,tokio::sync::mpsc,50,,,45277654.0,ns,46
async/mpsc_integer,tokio::sync::mpsc,50,,,49190999.0,ns,47
async/mpsc_integer,tokio::sync::mpsc,50,,,46716055.0,ns,48
async/mpsc_integer,tokio::sync::mpsc,50,,,45329502.0,ns,49
async/mpsc_integer,tokio::sync::mpsc,50,,,49667321.0,ns,50
async/mpsc_integer,tokio::sync::mpsc,50,,,46358008.0,ns,51
async/mpsc_integer,tokio::sync::mpsc,50,,,51108056.0,ns,52
async/mpsc_integer,tokio::sync::mpsc,50,,,51327403.0,ns,53
async/mpsc_integer,tokio::sync::mpsc,50,,,51153693.0,ns,54
async/mpsc_integer,tokio::sync::mpsc,50,,,57847471.0,ns,55
async/mpsc_integer,tokio::sync::mpsc,50,,,55383297.0,ns,56
async/mpsc_integer,tokio::sync::mpsc,50,,,54264210.0,ns,57
async/mpsc_integer,tokio::sync::mpsc,50,,,57254880.0,ns,58
async/mpsc_integer,tokio::sync::mpsc,50,,,57718847.0,ns,59
async/mpsc_integer,tokio::sync::mpsc,50,,,57225704.0,ns,60
async/mpsc_integer,tokio::sync::mpsc,50,,,55066198.0,ns,61
async/mpsc_integer,tokio::sync::mpsc,50,,,56564663.0,ns,62
async/mpsc_integer,tokio::sync::mpsc,50,,,62005580.0,ns,63
async/mpsc_integer,tokio::sync::mpsc,50,,,66635861.0,ns,64
async/mpsc_integer,tokio::sync::mpsc,50,,,62132420.0,ns,65
async/mpsc_integer,tokio::sync::mpsc,50,,,54250744.0,ns,66
async/mpsc_integer,tokio::sync::mpsc,50,,,64481955.0,ns,67
async/mpsc_integer,tokio::sync::mpsc,50,,,66467563.0,ns,68
async/mpsc_integer,tokio::sync::mpsc,50,,,68670523.0,ns,69
async/mpsc_integer,tokio::sync::mpsc,50,,,62637966.0,ns,70
async/mpsc_integer,tokio::sync::mpsc,50,,,66630482.0,ns,71
async/mpsc_integer,tokio::sync::mpsc,50,,,67724181.0,ns,72
async/mpsc_integer,tokio::sync::mpsc,50,,,72514587.0,ns,73
async/mpsc_integer,tokio::sync::mpsc,50,,,70706275.0,ns,74
async/mpsc_integer,tokio::sync::mpsc,50,,,71565310.0,ns,75
async/mpsc_integer,tokio::sync::mpsc,50,,,69491497.0,ns,76
async/mpsc_integer,tokio::sync::mpsc,50,,,75546565.0,ns,77
async/mpsc_integer,tokio::sync::mpsc,50,,,53122980.0,ns,78
async/mpsc_integer,tokio::sync::mpsc,50,,,71988181.0,ns,79
async/mpsc_integer,tokio::sync::mpsc,50,,,75388296.0,ns,80
async/mpsc_integer,tokio::sync::mpsc,50,,,80378710.0,ns,81
async/mpsc_integer,tokio::sync::mpsc,50,,,78740088.0,ns,82
async/mpsc_integer,tokio::sync::mpsc,50,,,77791874.0,ns,83
async/mpsc_integer,tokio::sync::mpsc,50,,,79113805.0,ns,84
async/mpsc_integer,tokio::sync::mpsc,50,,,82035024.0,ns,85
async/mpsc_integer,tokio::sync::mpsc,50,,,81415511.0,ns,86
async/mpsc_integer,tokio::sync::mpsc,50,,,84698213.0,ns,87
async/mpsc_integer,tokio::sync::mpsc,50,,,89117617.0,ns,88
async/mpsc_integer,tokio::sync::mpsc,50,,,87202683.0,ns,89
async/mpsc_integer,tokio::sync::mpsc,50,,,91102053.0,ns,90
async/mpsc_integer,tokio::sync::mpsc,50,,,82535430.0,ns,91
async/mpsc_integer,tokio::sync::mpsc,50,,,86215836.0,ns,92
async/mpsc_integer,tokio::sync::mpsc,50,,,91614543.0,ns,93
async/mpsc_integer,tokio::sync::mpsc,50,,,94133960.0,ns,94
async/mpsc_integer,tokio::sync::mpsc,50,,,90342955.0,ns,95
async/mpsc_integer,tokio::sync::mpsc,50,,,90458695.0,ns,96
async/mpsc_integer,tokio::sync::mpsc,50,,,93270205.0,ns,97
async/mpsc_integer,tokio::sync::mpsc,50,,,96717348.0,ns,98
async/mpsc_integer,tokio::sync::mpsc,50,,,93787023.0,ns,99
async/mpsc_integer,tokio::sync::mpsc,50,,,95183707.0,ns,100
